-7936, 10816, -9616, 32, 130, -12
-7456, 10392, -9496, 36, 128, -14
-7920, 10928, -9560, 43, 129, -15
-7424, 10800, -10144, 30, 130, -16
-7536, 10496, -10184, 40, 126, -14
-7656, 10776, -9264, 40, 126, -12
-7904, 10736, -9568, 37, 123, -11
-7456, 10704, -10104, 45, 127, -17
-7640, 10864, -9432, 38, 136, -16
-7712, 10648, -9528, 39, 133, -11
-7416, 10816, -9144, 37, 133, -21
-7320, 11040, -9264, 39, 131, -17
-6880, 11096, -10464, 37, 131, -18
-6960, 11080, -10400, 34, 134, -22
-7032, 11176, -9584, 47, 135, -17
-6880, 11208, -9416, 34, 128, -14
-6984, 11232, -10056, 32, 130, -22
-7104, 11400, -9872, 24, 130, -18
-7128, 11488, -9688, 29, 127, -17
-7208, 11336, -9448, 36, 132, -16
-6816, 11272, -9528, 33, 121, -15
-6672, 11296, -9680, 33, 133, -19
-6632, 11280, -9656, 32, 124, -14
-6768, 11552, -9704, 40, 128, -18
-6912, 11360, -9512, 33, 119, -21
-6872, 11600, -9464, 32, 128, -8
-6760, 11504, -9280, 25, 129, -19
-6712, 11464, -9464, 28, 116, -12
-6520, 11384, -9576, 24, 130, -20
-6768, 11496, -9664, 28, 124, -12
-6688, 11448, -9800, 31, 125, -19
-6504, 11464, -9320, 28, 126, -12
-6616, 11416, -9696, 30, 116, -16
-6736, 11656, -9848, 25, 123, -15
-6552, 11528, -9080, 35, 127, -11
-6792, 11312, -9488, 36, 124, -12
-6624, 11320, -9648, 30, 116, -16
-6752, 11616, -9096, 23, 127, -9
-6744, 11640, -9600, 25, 121, -15
-6912, 11528, -10040, 29, 119, -15
-6600, 11616, -9144, 31, 123, -11
-6744, 11536, -9464, 29, 129, -21
-6560, 11440, -9616, 22, 124, -18
-6456, 11376, -9736, 32, 126, -14
-6712, 11584, -9456, 32, 120, -8
-6696, 11496, -9584, 30, 124, -18
-6608, 11520, -9944, 29, 115, -19
-6672, 11576, -9400, 26, 120, -10
-6768, 11824, -9272, 32, 122, -12
-6472, 11632, -9912, 25, 123, -21
-6200, 11352, -9704, 27, 123, -3
-6728, 11528, -9056, 29, 127, -17
-6464, 11448, -9720, 30, 132, -16
-6584, 11784, -9576, 27, 121, -15
-6904, 11704, -9312, 25, 129, -13
-6688, 11744, -9656, 26, 122, -10
-6424, 11568, -9552, 24, 124, -12
-6232, 11576, -9376, 27, 121, -17
-6440, 11424, -9208, 26, 122, -16
-6616, 11640, -9320, 29, 113, -21
-6744, 11744, -9712, 20, 114, -12
-6600, 11592, -9360, 26, 120, -4
-6432, 11592, -9248, 26, 124, -16
-6384, 11552, -9704, 22, 122, -12
-6248, 11696, -9688, 26, 116, -14
-6488, 11952, -8960, 33, 129, -17
-6784, 11528, -9352, 30, 122, -16
-6680, 11744, -9520, 27, 121, -15
-6560, 11632, -9400, 24, 116, -12
-6320, 11640, -9536, 32, 114, -6
-6280, 11560, -10072, 21, 121, -9
-6736, 11792, -9376, 27, 119, -17
-6760, 11752, -8968, 19, 115, -13
-6160, 11680, -9536, 24, 118, -14
-6256, 11432, -9792, 26, 119, -9
-6496, 12008, -9312, 29, 119, -11
-6672, 11760, -9360, 28, 120, -14
-6440, 11768, -9528, 28, 116, -8
-6360, 11784, -9512, 26, 124, -20
-6528, 11848, -9208, 27, 117, -9
-6344, 11584, -9792, 15, 121, -11
-6584, 11928, -9264, 20, 118, -4
-6744, 11880, -9312, 26, 114, -16
-6752, 11984, -9216, 26, 116, -10
-6312, 11664, -9280, 26, 120, -6
-6120, 11680, -9208, 27, 117, -19
-6136, 11528, -9360, 25, 125, -15
-6472, 11816, -9288, 25, 123, -21
-6704, 11976, -9624, 23, 123, -15
-6528, 11816, -9736, 25, 125, -9
-6208, 11776, -9280, 26, 126, -10
-6456, 11696, -9608, 22, 116, -10
-6280, 11776, -9408, 14, 118, -10
-6424, 11912, -9112, 23, 121, -15
-6928, 11752, -9392, 21, 117, -13
-6616, 11912, -9464, 23, 113, -15
-6400, 11768, -9368, 26, 124, -16
-6208, 11832, -9304, 23, 111, -5
-6320, 11592, -9744, 29, 117, -9
-6392, 11784, -9456, 30, 122, -18
-6560, 11680, -9464, 21, 120, -8
-6424, 11864, -9448, 26, 120, -4
-6400, 11864, -9248, 24, 116, -12
-6480, 11728, -9232, 20, 120, -14
-6480, 11720, -9312, 25, 121, -13
-6320, 11848, -9312, 27, 119, -13
-6376, 11752, -9808, 17, 113, -13
-6336, 11816, -9560, 23, 121, -9
-6392, 11816, -9024, 30, 120, -6
-6592, 11928, -9328, 26, 118, -16
-6400, 11856, -9728, 21, 115, -17
-6480, 11800, -9072, 26, 122, -18
-6536, 11848, -8680, 23, 115, -21
-6336, 11712, -9712, 26, 123, -11
-6280, 11744, -9456, 22, 118, -12
-6448, 11856, -9448, 20, 126, -12
-6400, 12024, -9456, 18, 128, -14
-6184, 11552, -9472, 19, 113, -17
-6632, 11736, -9688, 30, 126, -10
-6456, 11920, -9384, 23, 123, -13
-6584, 11808, -9320, 31, 121, -17
-6376, 11648, -9536, 22, 122, -16
-6592, 11760, -9456, 22, 118, -20
-6424, 11872, -9400, 20, 114, -6
-6488, 11768, -9360, 30, 116, -14
-6400, 11768, -9664, 31, 117, -13
-6608, 12008, -9528, 26, 121, -15
-6432, 11856, -9224, 23, 121, -9
-6208, 11800, -9656, 29, 121, -13
-6072, 11880, -9584, 26, 120, -10
-6272, 11856, -9384, 24, 126, -12
-6440, 11936, -9232, 26, 114, -14
-6344, 11736, -9512, 23, 117, -13
-6536, 11824, -9552, 35, 119, -19
-6480, 11792, -9264, 24, 118, -18
-6208, 11792, -9376, 23, 121, -11
-6360, 11792, -9736, 22, 110, -12
-6152, 11648, -9448, 18, 116, -14
-6520, 11920, -9328, 23, 119, -15
-6344, 11816, -9352, 25, 120, -16
-6304, 11864, -9664, 25, 123, -19
-6272, 11776, -9480, 28, 122, -12
-7304, 12000, -9216, 23, 125, -9
-6216, 11720, -9120, 27, 115, -9
-6000, 11840, -9408, 20, 120, -16
-5752, 11936, -9648, 23, 121, -15
-5952, 11976, -9496, 25, 117, -17
-6048, 11856, -9720, 18, 112, -13
