-4937, 694, -91
-4937, 694, -91
-4937, 694, -114
-4812, 435, -114
-4812, 435, -114
-4988, 92, -118
-4988, 92, -118
-4988, 92, -102
-5358, -21, -102
-5358, -21, -102
-5471, 18, -58
-5471, 18, -58
-5471, 78, -73
-5422, 78, -73
-5422, 78, -73
-4983, 160, -106
-4983, 160, -106
-4983, 207, -127
-4545, 207, -127
-4545, 207, -127
-4002, 222, -124
-4002, 222, -124
-3791, 225, -74
-3791, 225, -74
-3791, 225, -47
-3718, 224, -47
-3718, 224, -47
-3422, 249, -41
-3422, 249, -41
-3422, 249, -71
-3107, 263, -71
-3107, 263, -71
-2976, 256, -21
-2976, 256, -21
-2976, 266, -14
-2838, 266, -14
-2838, 266, -14
-2602, 249, -16
-2602, 249, -16
-2602, 214, -22
-2391, 214, -22
-2391, 214, -22
-2005, 180, -34
-2005, 180, -34
-2005, 179, -44
-1892, 179, -44
-1892, 179, -44
-2230, 147, -20
-2230, 147, -20
-2609, 77, -25
-2609, 77, -25
-2609, 77, 6
-2733, -2, 6
-2733, -2, 6
-2733, -57, 21
-2616, -57, 21
-2616, -57, 21
-2455, -25, -9
-2455, -25, -9
-2455, 6, -17
-2741, 6, -17
-2741, 6, -17
-3144, 20, 4
-3144, 20, 4
-3144, 20, -2
-3212, 31, -2
-3212, 31, -2
-2930, 33, -22
-2930, 33, -22
-2930, 33, -29
-2863, 47, -29
-2863, 47, -29
-3412, 85, -35
-3412, 85, -35
-3412, 85, -69
-3698, 190, -69
-3698, 190, -69
-3424, 251, -61
-3424, 251, -61
-3424, 251, -95
-3217, 296, -95
-3217, 296, -95
-3171, 308, -85
-3171, 308, -85
-3171, 361, -62
-3042, 361, -62
-3042, 361, -62
-3044, 504, -97
-3044, 504, -97
-3044, 692, -107
-2932, 692, -107
-2932, 692, -107
-2823, 911, -119
-2823, 911, -119
-3068, 1332, -133
-3068, 1332, -133
-3068, 1332, -118
-3064, 1562, -118
-3064, 1562, -118
-3176, 1745, -133
-3176, 1745, -133
-3584, 1927, -188
-3584, 1927, -188
-3584, 1927, -198
-3923, 2011, -198
-3923, 2011, -198
-4125, 2025, -245
-4125, 2025, -245
-3740, 1846, -215
-3740, 1846, -215
-3740, 1846, -191
-3356, 1632, -191
-3356, 1632, -191
-2969, 1382, -186
-2969, 1382, -186
-1978, 1002, -127
-1978, 1002, -127
-1978, 1002, -101
-1757, 835, -101
-1757, 835, -101
-2277, 785, -85
-2277, 785, -85
-2277, 599, -80
-2764, 599, -80
-2764, 599, -80
-2851, 221, -54
-2851, 221, -54
-2851, 87, -44
-2540, 87, -44
-2540, 87, -44
-2194, 62, -53
-2194, 62, -53
-2194, -127, -22
-1965, -127, -22
-1965, -127, -22
-1962, -230, -11
-1962, -230, -11
-1991, -245, 2
-1991, -245, 2
-1991, -245, 15
-2122, -218, 15
-2122, -218, 15
-2485, -228, 18
-2485, -228, 18
-2485, -228, 34
-2881, -242, 34
-2881, -242, 34
-3078, -206, 64
-3078, -206, 64
-3078, -27, 14
-2798, -27, 14
-2798, -27, 14
-2809, -74, 47
-2809, -74, 47
-2809, -413, 117
-3253, -413, 117
-3253, -413, 117
-2965, -560, 70
-2965, -560, 70
-2965, -519, 10
-2458, -519, 10
-2458, -519, 10
-2199, -540, 15
-2199, -540, 15
-2597, -687, 37
-2597, -687, 37
-2597, -687, 72
-3257, -923, 72
-3257, -923, 72
-4281, -1292, 140
-4281, -1292, 140
-4281, -1292, 138
-4300, -1343, 138
-4300, -1343, 138
-3634, -991, 78
-3634, -991, 78
-3634, -504, 16
-3087, -504, 16
-3087, -504, 16
-2616, -139, -56
-2616, -139, -56
-2329, 74, -39
-2329, 74, -39
-2329, 74, -31
-2085, 194, -31
-2085, 194, -31
-1731, 256, -29
-1731, 256, -29
-1731, 256, -44
-1368, 288, -44
-1368, 288, -44
-1366, 252, -45
-1366, 252, -45
-1366, 178, -41
-1495, 178, -41
-1495, 178, -41
-1492, 179, -29
-1492, 179, -29
-1492, 236, -51
-1341, 236, -51
-1341, 236, -51
-1099, 357, -72
-1099, 357, -72
-854, 500, -81
-854, 500, -81
-854, 500, -81
-790, 609, -90
-790, 609, -90
-790, 638, -93
-820, 638, -93
-820, 638, -93
-858, 624, -84
-858, 624, -84
-858, 614, -82
-861, 614, -82
-861, 614, -82
-1000, 586, -95
-1000, 586, -95
-1000, 521, -82
-1218, 521, -82
-1218, 521, -82
-1596, 374, -56
-1596, 374, -56
-1596, 224, -42
-1873, 224, -42
-1873, 224, -42
-1893, 146, -40
-1893, 146, -40
-1908, 81, -14
-1908, 81, -14
-1908, 81, -14
-1822, 56, -5
-1822, 56, -5
-1822, 142, -50
-1487, 142, -50
-1487, 142, -50
-1169, 229, -63
-1169, 229, -63
-966, 298, -58
-966, 298, -58
-966, 298, -58
-954, 318, -52
-954, 318, -52
-1049, 296, -47
-1049, 296, -47
-1049, 296, -47
-1141, 291, -53
-1141, 291, -53
-1157, 341, -46
-1157, 341, -46
-1157, 341, -36
-1270, 368, -36
-1270, 368, -36
-1521, 347, -37
-1521, 347, -37
-1521, 347, -26
-1760, 307, -26
-1760, 307, -26
-1825, 285, -56
